01.06.2020 00:00;Bel_T2_b;Vwz_T2_b;Bel_T2_s;Vwz_T2_s;Bel_T3_b;Vwz_T3_b;Bel_T3_s;Vwz_T3_s;Bel_TFW;Vwz_TFW
11.06.2020 21:00;0;0;0;0;0;0;1;600;0;0
11.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
11.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 07:00;0;0;1;0;0;0;0;0;0;0
12.06.2020 08:00;0;0;1;600;2;0;3;1800;0;0
12.06.2020 09:00;4;0;3;1200;5;0;4;1200;0;0
12.06.2020 10:00;2;0;3;2400;5;600;2;1200;0;0
12.06.2020 11:00;7;1200;4;3600;3;1200;3;6000;0;0
12.06.2020 12:00;2;600;2;600;4;0;6;8400;0;0
12.06.2020 13:00;3;600;1;0;42;9600;4;3600;0;0
12.06.2020 14:00;1;0;3;1200;12;1800;4;3000;0;0
12.06.2020 15:00;2;600;7;1800;6;1800;5;2400;0;0
12.06.2020 16:00;23;3600;5;4200;13;3600;5;3000;0;0
12.06.2020 17:00;9;1800;8;4200;8;0;9;3000;0;0
12.06.2020 18:00;13;1800;10;13200;5;600;2;4200;0;0
12.06.2020 19:00;8;2400;4;6000;0;0;1;0;0;0
12.06.2020 20:00;0;0;1;0;1;0;2;1200;0;0
12.06.2020 21:00;2;600;0;0;3;0;0;0;0;0
12.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
12.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 08:00;0;0;0;0;7;600;3;1800;0;0
13.06.2020 09:00;0;0;2;1200;3;600;0;0;0;0
13.06.2020 10:00;8;2400;5;2400;2;600;6;1800;0;0
13.06.2020 11:00;3;600;4;14400;3;1200;5;1200;0;0
13.06.2020 12:00;2;1800;0;0;1;0;1;1800;0;0
13.06.2020 13:00;0;0;1;0;0;0;7;3600;0;0
13.06.2020 14:00;3;1200;1;1800;0;0;0;0;0;0
13.06.2020 15:00;1;0;4;1800;0;0;5;3000;0;0
13.06.2020 16:00;2;600;1;0;1;0;0;0;0;0
13.06.2020 17:00;6;1200;0;0;1;0;0;0;0;0
13.06.2020 18:00;0;0;0;0;0;0;2;600;0;0
13.06.2020 19:00;1;0;1;600;1;600;3;3000;0;0
13.06.2020 20:00;1;0;1;600;2;600;3;1800;0;0
13.06.2020 21:00;12;2400;3;2400;7;1200;2;1200;0;0
13.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
13.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 08:00;0;0;0;0;0;0;1;600;0;0
14.06.2020 09:00;1;0;0;0;0;0;0;0;0;0
14.06.2020 10:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 11:00;1;0;1;0;0;0;3;600;0;0
14.06.2020 12:00;0;0;0;0;5;600;0;0;0;0
14.06.2020 13:00;0;0;0;0;0;0;2;0;0;0
14.06.2020 14:00;16;9600;2;600;0;0;0;0;0;0
14.06.2020 15:00;5;600;5;7800;0;0;1;600;0;0
14.06.2020 16:00;2;600;3;2400;4;600;2;2400;0;0
14.06.2020 17:00;3;600;1;3000;0;0;0;0;0;0
14.06.2020 18:00;6;1200;0;0;0;0;1;0;0;0
14.06.2020 19:00;2;600;1;600;0;0;0;0;0;0
14.06.2020 20:00;0;0;1;600;0;0;0;0;0;0
14.06.2020 21:00;1;0;0;0;0;0;0;0;0;0
14.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
14.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
29.06.2020 00:00;Bel_T2_b;Vwz_T2_b;Bel_T2_s;Vwz_T2_s;Bel_T3_b;Vwz_T3_b;Bel_T3_s;Vwz_T3_s
29.06.2020 00:00;1;0;1;600;0;0;0;0
29.06.2020 01:00;0;0;0;0;0;0;0;0
29.06.2020 02:00;0;0;0;0;0;0;0;0
29.06.2020 03:00;0;0;0;0;0;0;0;0
29.06.2020 04:00;0;0;0;0;0;0;0;0
29.06.2020 05:00;0;0;0;0;0;0;0;0
29.06.2020 06:00;0;0;0;0;0;0;0;0
29.06.2020 07:00;0;0;0;0;5;0;7;3600
29.06.2020 08:00;0;0;0;0;7;600;5;600
29.06.2020 09:00;5;1200;1;0;1;0;1;0
29.06.2020 10:00;4;1200;1;1800;4;0;1;600
29.06.2020 11:00;2;0;7;1200;0;0;0;0
29.06.2020 12:00;5;1200;7;600;0;0;3;1200
29.06.2020 13:00;9;1200;3;6000;0;0;4;0
29.06.2020 14:00;20;9000;6;6000;10;6000;1;0
29.06.2020 15:00;22;5400;11;4800;21;4800;15;9000
29.06.2020 16:00;27;7800;12;19800;13;1800;19;7200
29.06.2020 17:00;12;6000;19;11400;27;12600;21;30600
29.06.2020 18:00;45;9000;22;22800;7;1200;8;4800
29.06.2020 19:00;6;6600;3;13200;0;0;0;0
29.06.2020 20:00;4;0;2;2400;1;0;1;600
29.06.2020 21:00;0;0;0;0;0;0;0;0
29.06.2020 22:00;0;0;0;0;0;0;0;0
29.06.2020 23:00;0;0;0;0;0;0;0;0
30.06.2020 00:00;0;0;0;0;0;0;0;0
30.06.2020 01:00;0;0;0;0;0;0;0;0
30.06.2020 02:00;0;0;0;0;0;0;0;0
30.06.2020 03:00;0;0;0;0;0;0;0;0
30.06.2020 04:00;0;0;0;0;0;0;0;0
30.06.2020 05:00;0;0;0;0;0;0;0;0
30.06.2020 06:00;0;0;0;0;0;0;0;0
30.06.2020 07:00;1;0;1;600;49;9000;19;12000
30.06.2020 08:00;0;0;0;0;11;1200;4;600
30.06.2020 09:00;6;600;3;1200;5;600;0;0
30.06.2020 10:00;4;600;0;0;5;0;2;0
30.06.2020 11:00;50;8400;15;1800;19;3600;7;8400
30.06.2020 12:00;10;1200;11;5400;11;1800;1;1200
30.06.2020 13:00;1;600;3;1200;0;0;0;0
30.06.2020 14:00;4;600;5;3600;22;4800;4;6000
30.06.2020 15:00;28;4200;18;16200;12;1200;17;13200
30.06.2020 16:00;9;2400;15;10200;7;1200;12;9000
30.06.2020 17:00;2;0;5;1200;2;0;15;7800
30.06.2020 18:00;8;600;9;17400;15;3000;9;9600
30.06.2020 19:00;5;600;5;1800;3;0;4;2400
30.06.2020 20:00;1;0;5;1800;1;0;1;600
30.06.2020 21:00;0;0;0;0;0;0;0;0
30.06.2020 22:00;0;0;2;1800;0;0;0;0
30.06.2020 23:00;0;0;0;0;0;0;0;0
01.07.2020 00:00;0;0;0;0;0;0;0;0
01.07.2020 01:00;0;0;0;0;0;0;0;0
01.07.2020 02:00;0;0;0;0;0;0;0;0
01.07.2020 03:00;0;0;0;0;0;0;0;0
01.07.2020 04:00;0;0;0;0;0;0;0;0
01.07.2020 05:00;0;0;0;0;0;0;0;0
01.07.2020 06:00;1;0;1;600;0;0;0;0
01.07.2020 07:00;0;0;0;0;31;7200;5;3000
01.07.2020 08:00;1;1800;1;2400;14;4200;12;13800
01.07.2020 09:00;1;0;7;3000;3;0;3;600
01.07.2020 10:00;0;0;7;2400;2;0;4;9000
01.07.2020 11:00;16;3000;14;7800;1;0;7;3000
01.07.2020 12:00;3;0;10;3000;16;4800;1;600
01.07.2020 13:00;6;1200;8;1800;0;0;0;0
01.07.2020 14:00;10;2400;2;5400;7;1800;4;5400
01.07.2020 15:00;8;1200;5;11400;13;1200;5;7800
01.07.2020 16:00;19;2400;20;5400;9;2400;22;5400
01.07.2020 17:00;7;600;13;11400;8;1800;15;9600
01.07.2020 18:00;6;7200;10;9600;0;0;0;0
01.07.2020 19:00;5;1800;3;4800;3;600;4;1200
01.07.2020 20:00;0;0;0;0;2;600;0;0
