01.06.2020 00:00;Bel_TB32;Vwz_TB32;Bel_TF32;Vwz_TF32;Bel_V21;Vwz_V21;Bel_V81;Vwz_V81;Bel_VK1_2Stoer;Vwz_VK1_2Stoer
08.06.2020 07:00;11;9000;6;3600;0;0;0;0;0;0
08.06.2020 08:00;4;2400;3;1800;0;0;0;0;0;0
08.06.2020 09:00;4;2400;3;1800;0;0;0;0;0;0
08.06.2020 10:00;14;15000;12;10200;0;0;0;0;0;0
08.06.2020 11:00;6;4800;9;6600;0;0;0;0;0;0
08.06.2020 12:00;2;1800;0;0;0;0;0;0;0;0
08.06.2020 13:00;9;10800;11;7800;0;0;0;0;0;0
08.06.2020 14:00;3;1800;4;2400;0;0;0;0;0;0
08.06.2020 15:00;11;9000;6;3600;0;0;0;0;0;0
08.06.2020 16:00;6;4800;7;6000;0;0;0;0;0;0
08.06.2020 17:00;5;3000;12;9000;0;0;0;0;0;0
08.06.2020 18:00;8;9600;7;5400;0;0;0;0;0;0
08.06.2020 19:00;0;0;1;600;0;0;0;0;0;0
08.06.2020 20:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
08.06.2020 23:00;1;600;0;0;0;0;0;0;0;0
09.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 07:00;7;4200;4;3600;0;0;0;0;0;0
09.06.2020 08:00;5;3000;9;6600;0;0;0;0;0;0
09.06.2020 09:00;1;600;3;1800;0;0;0;0;0;0
09.06.2020 10:00;15;14400;9;5400;0;0;0;0;0;0
09.06.2020 11:00;1;1200;3;1800;0;0;0;0;0;0
09.06.2020 12:00;5;4800;4;2400;0;0;0;0;0;0
09.06.2020 13:00;7;5400;8;6000;0;0;0;0;0;0
09.06.2020 14:00;7;4800;9;7200;0;0;0;0;0;0
09.06.2020 15:00;7;4800;10;6600;0;0;0;0;0;0
09.06.2020 16:00;5;3600;9;7200;0;0;0;0;0;0
09.06.2020 17:00;4;2400;8;5400;0;0;0;0;0;0
09.06.2020 18:00;2;1200;2;1200;0;0;0;0;0;0
09.06.2020 19:00;1;600;1;600;0;0;0;0;0;0
09.06.2020 20:00;1;600;2;1200;0;0;0;0;0;0
09.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
09.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
10.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
