01.06.2020 00:00;Bel_A53_M5_3007;Vwz_A53_M5_3007;Bel_A57_M2_1138;Vwz_A57_M2_1138;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_D31;Vwz_D31;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D43;Vwz_D43;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H53_M3_3006;Vwz_H53_M3_3006;Bel_H53_M6_1140;Vwz_H53_M6_1140;Bel_H57_M1_1137;Vwz_H57_M1_1137;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
05.12.2021 20:00;18;17980;0;0;19;169190;52;111840;7;41720;0;3600000;43;256206;282;441710;0;0;0;0;19;20791;0;0;18;18000;0;0;0;0;0;0;0;0
05.12.2021 21:00;19;18970;0;0;10;73230;29;22600;7;76340;0;3600000;40;125930;213;285957;0;0;0;0;18;17990;0;0;18;17980;0;0;0;0;0;0;0;0
05.12.2021 22:00;17;16990;0;0;12;251284;25;18810;13;135990;0;3600000;38;208560;156;217290;0;0;0;0;17;16990;0;0;17;16970;0;0;0;0;0;0;0;0
05.12.2021 23:00;14;14040;0;0;9;101064;23;23190;1;580;0;3600000;18;76830;99;83910;0;0;0;0;15;14980;0;0;15;14980;0;0;0;0;0;0;0;0
06.12.2021 00:00;14;14200;0;0;1;880;9;8630;1;680;0;3600000;7;15940;43;39540;0;0;0;0;8;8000;0;0;8;7990;0;0;0;0;0;0;0;0
06.12.2021 01:00;2;1990;0;0;3;10670;5;3780;2;52270;0;3600000;6;55200;28;23670;0;0;0;0;4;4000;0;0;4;3990;0;0;0;0;0;0;0;0
06.12.2021 02:00;0;0;0;0;3;21140;6;5250;2;44690;0;3600000;1;20360;20;16310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.12.2021 03:00;3;3000;0;0;0;0;1;1550;0;0;0;3600000;2;28960;12;11510;0;0;0;0;2;2000;0;0;2;2000;0;0;0;0;0;0;0;0
06.12.2021 04:00;6;6000;0;0;2;40660;4;30600;0;0;0;3600000;8;23640;23;18940;0;0;0;0;10;9990;0;0;10;10907;0;0;0;0;0;0;0;0
06.12.2021 05:00;25;24950;0;0;7;60820;11;11350;1;290;0;3600000;28;114540;99;102980;0;0;0;0;26;26000;0;0;27;27000;0;0;0;0;0;0;0;0
06.12.2021 06:00;31;30930;0;0;24;314037;31;31070;3;7080;0;3600000;46;170930;257;311676;0;0;0;0;33;32950;1;990;34;33960;0;0;0;0;0;0;0;0
06.12.2021 07:00;36;35960;0;0;52;779385;89;350665;8;36690;0;3600000;93;457243;456;750451;0;0;0;0;38;37970;2;1990;38;37960;0;0;0;0;0;0;0;0
