01.06.2020 00:00;Bel_D51;Vwz_D51;Bel_D52;Vwz_D52;Bel_D53;Vwz_D53;Bel_D54;Vwz_D54;Bel_D71;Vwz_D71;Bel_D72;Vwz_D72;Bel_D91;Vwz_D91;Bel_D92;Vwz_D92;Bel_D93;Vwz_D93;Bel_D94;Vwz_D94;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP3;Vwz_MP3;Bel_MP4;Vwz_MP4;Bel_MP5;Vwz_MP5;Bel_MP6;Vwz_MP6;Bel_MP7;Vwz_MP7;Bel_TBS35;Vwz_TBS35;Bel_TBS37;Vwz_TBS37;Bel_TBS38;Vwz_TBS38;Bel_TBS39;Vwz_TBS39;Bel_TF37;Vwz_TF37;Bel_TF38;Vwz_TF38;Bel_TS57;Vwz_TS57
02.06.2020 04:00;10;144010;14;222810;8;4430;15;16250;13;21260;13;16070;53;90550;34;72456;50;40306;31;17603;2;2000;2;2000;2;2000;0;0;0;0;3;3000;3;3000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 05:00;50;543240;51;577691;49;42797;53;61630;50;60170;49;46480;261;656052;197;291840;252;155550;199;113640;6;6000;6;6000;6;5990;4;4000;4;4000;6;5990;6;6000;0;0;2;1980;0;3600000;1;3450;0;3600000;0;3600000;0;0
02.06.2020 06:00;119;909504;130;1246183;124;151161;133;166400;140;190970;135;106370;478;1175556;424;809356;466;421233;423;298196;11;10960;10;10000;10;10000;3;3000;3;3000;9;9000;8;8000;0;0;2;2050;0;3600000;2;2780;0;3600000;0;3600000;0;0
02.06.2020 07:00;212;1650573;218;1811823;230;362006;226;386480;236;285158;235;181470;562;1639116;534;1347802;556;523336;535;514965;9;9038;11;11059;12;11990;5;4990;5;5000;10;9990;10;9990;1;920;9;9090;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 08:00;244;1804890;253;1836478;251;420448;257;643180;258;409420;249;215830;538;1657720;510;1290174;307;226734;522;445766;11;10990;12;11990;13;12970;4;3990;4;3990;9;8990;10;10000;2;2360;12;13640;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 09:00;227;1661439;188;1752099;224;354124;196;300503;234;322636;231;186820;520;1554892;557;1489044;518;524994;561;520873;13;12980;13;12990;14;13970;4;3990;4;4000;10;9980;10;10000;3;3310;12;14900;0;3600000;1;980;0;3600000;0;3600000;0;0
02.06.2020 10:00;248;1825278;206;1643686;259;435101;208;349462;275;477545;267;244950;548;1732494;513;1505928;539;653121;526;465440;13;12980;14;13980;14;13970;5;4980;5;5000;11;10980;11;10980;9;9879;13;13199;0;3600000;3;9630;0;3600000;0;3600000;0;0
02.06.2020 11:00;233;1634409;194;1573733;233;399330;200;395449;247;417339;237;193365;506;1644733;509;1503810;504;534747;509;517487;15;14990;14;13980;14;14050;4;4000;4;3990;10;9990;9;8990;9;8910;15;17430;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 12:00;236;1459937;181;1485121;243;300730;184;257650;262;360060;254;202300;481;1559988;501;1609350;477;477970;509;500841;12;12000;14;14000;14;13980;4;4000;4;4000;8;7970;8;7990;5;5620;14;15310;0;3600000;2;2190;0;3600000;0;3600000;0;0
02.06.2020 13:00;219;1740669;187;1813967;222;328430;191;396900;250;412480;247;202920;508;1678733;508;1574883;497;590891;509;530331;14;13970;14;13990;15;14980;6;6000;6;5990;11;10990;11;10990;9;15970;18;28490;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 14:00;225;1665986;194;1783570;239;380160;205;415590;283;500980;274;232660;510;1636731;465;1513851;509;506538;467;453864;13;13000;14;14000;14;13980;4;3990;4;3990;9;8990;10;10000;8;7460;22;34660;0;3600000;4;3440;0;3600000;0;3600000;0;0
02.06.2020 15:00;237;1620654;207;1747944;244;407060;218;362706;358;591852;344;303120;482;1645232;510;1550684;477;515492;513;504982;11;11000;13;12990;13;12990;4;4000;4;3990;11;10970;11;10990;11;12510;17;17580;0;3600000;1;1250;0;3600000;0;3600000;0;0
02.06.2020 16:00;228;1889601;196;1935535;222;384132;215;361060;306;591201;296;251780;469;1635361;476;1510294;461;510562;479;442839;14;13960;14;13990;14;13980;2;2000;2;2000;9;8970;9;8990;6;5010;22;23083;0;3600000;3;3020;0;3600000;0;3600000;0;0
02.06.2020 17:00;221;1681938;188;1849611;227;280361;191;248230;313;496160;307;240480;429;1292911;475;1474511;407;311241;486;413828;14;13980;14;14000;14;14000;2;2000;2;1990;9;8980;9;8980;5;4710;19;24059;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 18:00;184;1715322;161;1607672;192;427770;167;362500;253;396849;250;194909;363;1279552;356;879679;332;479939;341;478039;12;11980;12;11980;12;11980;2;2000;2;2000;11;10990;12;11970;7;9330;17;20830;0;3600000;1;770;0;3600000;0;3600000;0;0
02.06.2020 19:00;148;1384796;99;1135131;145;161660;110;139932;196;342470;191;135030;290;974350;263;805618;269;175662;266;163370;9;8990;8;7970;8;8000;2;2000;2;2000;8;8000;8;8000;4;4700;6;7920;0;3600000;1;1890;0;3600000;0;3600000;0;0
02.06.2020 20:00;122;886978;84;996376;117;94080;97;84000;153;237050;147;116380;235;760866;217;754531;223;143386;221;137591;8;7980;8;8000;8;7990;2;2000;2;1990;7;7000;8;7980;2;1560;8;8030;0;3600000;1;740;0;3600000;0;3600000;0;0
02.06.2020 21:00;91;958166;63;662716;98;70990;62;58690;118;118180;115;80192;199;685377;159;523857;114;1938048;154;90360;6;6000;6;5990;6;5990;0;0;0;0;6;6000;6;5990;2;1730;7;6210;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 22:00;74;827376;41;506488;69;54080;50;44100;63;110410;55;41900;122;444142;114;444511;124;545163;111;63070;4;3990;4;4000;3;3000;0;0;0;0;4;3980;5;5000;1;660;2;2630;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 23:00;34;380459;32;394170;36;26110;39;33900;49;57520;47;36791;101;220337;62;138568;76;1309259;58;32730;5;4990;4;4000;4;4000;1;1000;1;1000;4;4000;4;4000;2;2010;3;2900;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 00:00;25;398800;16;345530;20;15110;15;17680;28;35270;26;23588;60;91697;45;55507;54;31710;44;23090;1;1000;2;2000;2;2000;0;0;0;0;3;3000;3;3000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 01:00;16;286420;6;32000;16;14310;7;9550;11;14740;12;6640;33;46790;20;25130;26;17990;20;11460;1;1000;1;1000;1;1000;0;0;0;0;0;0;0;0;0;0;1;1200;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 02:00;6;111870;5;109640;6;4994;8;4780;7;6150;7;3940;19;41710;12;7320;20;13990;10;5090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 03:00;4;17702;6;58912;5;3190;6;4460;3;2320;3;2500;26;24700;18;33110;46;661833;15;7950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
03.06.2020 04:00;8;131310;13;227457;9;5880;14;14320;15;26990;16;20180;43;74706;26;39600;43;189310;24;14140;2;1980;2;2000;2;2000;0;0;0;0;3;3000;3;3000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
