01.06.2020 00:00;Bel_AF_Bld_33;Vwz_AF_Bld_33;Bel_AF_FG33;Vwz_AF_FG33;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP2_A142;Vwz_MP2_A142;Bel_MP2_A8;Vwz_MP2_A8;Bel_MP3;Vwz_MP3
05.06.2020 22:00;9;6010;0;3600000;1;75160;17;5590;6;5390;6;5390;6;5400;5;4480;4;3600
05.06.2020 23:00;5;6260;0;3600000;1;39800;12;4210;4;3600;4;3646;4;3600;3;2700;4;3590
06.06.2020 00:00;0;0;0;3600000;6;175627;15;10680;6;5390;6;5390;6;5400;3;2700;3;2700
06.06.2020 01:00;0;0;0;3600000;3;61360;3;680;0;0;0;0;0;0;0;0;0;0
06.06.2020 02:00;0;0;0;3600000;1;14050;3;1800;0;0;0;0;0;0;0;0;0;0
06.06.2020 03:00;0;0;0;3600000;0;0;5;1710;0;0;0;0;0;0;1;900;1;900
06.06.2020 04:00;0;0;0;3600000;1;191;5;2640;2;1790;2;1800;2;1790;4;3600;3;2700
06.06.2020 05:00;1;490;0;3600000;0;0;7;2630;6;5390;6;5390;6;5400;8;7200;9;8080
06.06.2020 06:00;0;0;0;3600000;0;0;11;4430;8;7246;8;7190;8;7190;8;7190;8;7170
06.06.2020 07:00;2;2080;0;3600000;0;0;14;6350;8;7180;8;7200;8;7190;8;7180;7;6290
06.06.2020 08:00;3;1620;0;3600000;4;102890;16;8510;8;7200;8;7180;8;7190;8;7190;9;8070
06.06.2020 09:00;6;5290;0;3600000;3;93970;32;13520;8;7180;8;7200;8;7200;8;7190;8;7190
06.06.2020 10:00;10;8600;0;3600000;4;191566;43;13590;8;7200;8;7190;8;7190;7;6290;7;6300
06.06.2020 11:00;8;17560;0;3600000;8;258460;67;26350;8;7180;8;7190;8;7200;8;7200;8;7200
06.06.2020 12:00;15;13340;0;3600000;7;347427;66;26620;8;7190;8;7180;8;7200;8;7190;8;7190
06.06.2020 13:00;17;17950;0;3600000;1;10780;78;25780;8;7190;8;7190;8;7200;8;7190;8;7190
06.06.2020 14:00;21;19370;0;3600000;9;271938;84;32526;8;7200;8;7170;8;7190;9;8090;8;7190
06.06.2020 15:00;12;17420;0;3600000;9;217840;80;28370;8;7190;8;7190;8;7200;7;6300;8;7190
06.06.2020 16:00;13;11887;0;3600000;5;227750;75;25080;8;7180;8;7200;8;7180;9;8100;9;8090
06.06.2020 17:00;23;16338;0;3600000;5;184436;66;24700;8;7200;8;7180;8;7190;8;7200;8;7190
06.06.2020 18:00;25;31700;0;3600000;5;189449;53;21060;8;7190;8;7190;8;7200;8;7170;8;7200
06.06.2020 19:00;9;8710;0;3600000;8;245240;50;21320;7;6290;7;6280;7;6280;6;5400;6;5400
06.06.2020 20:00;9;9490;0;3600000;6;188640;42;18880;6;5400;6;5390;6;5390;7;6290;7;6290
06.06.2020 21:00;6;7200;0;3600000;7;231770;25;11030;6;5400;6;5400;6;5390;6;5400;6;5400
06.06.2020 22:00;0;0;0;3600000;5;183793;16;6360;6;5370;6;5390;6;5400;5;4490;4;3590
06.06.2020 23:00;3;2590;0;3600000;9;261665;18;8050;4;3590;4;3580;4;3600;4;3600;5;4500
07.06.2020 00:00;1;1910;0;3600000;9;228405;11;8170;6;5400;6;5400;6;5390;2;1800;2;1800
07.06.2020 01:00;0;0;0;3600000;3;93190;7;4440;0;0;0;0;0;0;0;0;0;0
07.06.2020 02:00;0;0;0;3600000;2;83180;3;1250;0;0;0;0;0;0;0;0;0;0
07.06.2020 03:00;0;0;0;3600000;0;0;4;1040;0;0;0;0;0;0;0;0;0;0
07.06.2020 04:00;0;0;0;3600000;0;0;1;340;1;900;1;900;1;900;2;1800;2;1800
07.06.2020 05:00;0;0;0;3600000;0;0;6;1870;1;900;1;900;1;900;3;2700;3;2747
07.06.2020 06:00;0;0;0;3600000;0;0;8;2620;3;2700;3;2690;3;2700;4;3655;4;3600
07.06.2020 07:00;1;300;0;3600000;2;66710;4;2410;4;3600;4;3590;4;3600;4;3590;4;3600
07.06.2020 08:00;2;890;0;3600000;1;33350;4;890;4;3600;4;3580;4;3590;4;3600;4;3590
