01.06.2020 00:00;Bel_TF35;Vwz_TF35;Bel_TF35a;Vwz_TF35a;Bel_TF36;Vwz_TF36;Bel_TF36a;Vwz_TF36a
15.06.2020 07:00;0;0;16;4200;19;1800;1;0
15.06.2020 08:00;0;0;5;2400;10;600;0;0
15.06.2020 09:00;0;0;1;0;6;600;2;0
15.06.2020 10:00;4;600;6;600;101;18600;0;0
15.06.2020 11:00;0;0;13;3000;3;1200;0;0
15.06.2020 12:00;1;0;4;0;8;0;0;0
15.06.2020 13:00;2;1800;44;10800;19;1200;4;0
15.06.2020 14:00;0;0;11;1200;23;3000;0;0
15.06.2020 15:00;0;0;6;600;26;3600;0;0
15.06.2020 16:00;0;0;9;1200;18;1800;0;0
15.06.2020 17:00;0;0;8;600;8;1200;0;0
15.06.2020 18:00;0;0;32;13800;3;0;0;0
15.06.2020 19:00;0;0;2;0;4;0;0;0
15.06.2020 20:00;0;0;3;0;5;0;0;0
15.06.2020 21:00;0;0;1;0;2;0;2;0
15.06.2020 22:00;0;0;0;0;2;0;0;0
15.06.2020 23:00;0;0;0;0;0;0;0;0
16.06.2020 00:00;-1;-1;-1;-1;-1;-1;-1;-1
16.06.2020 01:00;-1;-1;-1;-1;-1;-1;-1;-1
16.06.2020 02:00;0;0;0;0;0;0;0;0
16.06.2020 03:00;0;0;0;0;0;0;0;0
16.06.2020 04:00;-1;-1;-1;-1;-1;-1;-1;-1
16.06.2020 05:00;-1;-1;-1;-1;-1;-1;-1;-1
16.06.2020 06:00;0;0;7;1200;0;0;0;0
16.06.2020 07:00;1;0;2;1800;26;4800;1;0
16.06.2020 08:00;0;0;15;1200;22;4200;0;0
16.06.2020 09:00;0;0;1;0;11;600;0;0
16.06.2020 10:00;0;0;18;3000;31;5400;0;0
16.06.2020 11:00;0;0;8;600;12;2400;0;0
16.06.2020 12:00;0;0;10;2400;9;600;0;0
16.06.2020 13:00;0;0;56;13800;11;600;0;0
16.06.2020 14:00;0;0;13;1200;9;600;1;0
16.06.2020 15:00;0;0;9;600;26;1800;3;600
16.06.2020 16:00;0;0;18;5400;6;600;2;1200
16.06.2020 17:00;1;0;5;600;2;0;12;3600
16.06.2020 18:00;0;0;16;1200;6;1200;0;0
16.06.2020 19:00;0;0;0;0;7;0;1;0
