01.06.2020 00:00;Bel_AD75/HD81_M2_7X;Vwz_AD75/HD81_M2_7X;Bel_AD81_M5_769;Vwz_AD81_M5_769;Bel_AH75/HH81_M2_7X;Vwz_AH75/HH81_M2_7X;Bel_AH75_M7_770;Vwz_AH75_M7_770;Bel_AH81_M4_738;Vwz_AH81_M4_738;Bel_AH81_M5_769;Vwz_AH81_M5_769;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_H75_M1_736;Vwz_H75_M1_736;Bel_T11_T12;Vwz_T11_T12;Bel_T1_T2;Vwz_T1_T2;Bel_T5_T6;Vwz_T5_T6;Bel_T7_T8;Vwz_T7_T8
19.01.2022 16:00;0;0;0;0;25;24970;26;25960;27;27000;25;24990;649;727424;469;554610;476;284817;373;180050;30;29990;13;19690;41;69211;37;60090;24;34510
19.01.2022 17:00;0;0;0;0;23;22990;25;24990;22;21970;26;25990;723;426509;402;231080;501;316590;429;221406;30;29960;12;17140;32;49911;31;60720;13;22980
19.01.2022 18:00;0;0;0;0;25;24970;25;24960;30;29990;25;24980;604;281868;342;173218;440;255507;339;169109;29;28990;10;14470;37;60229;22;33450;11;17930
19.01.2022 19:00;0;0;0;0;21;21000;24;23960;23;22970;24;23980;448;196690;220;103170;308;161288;234;107640;26;25990;10;14440;15;24720;10;15870;1;1330
19.01.2022 20:00;0;0;0;0;17;16990;22;21980;18;17970;22;21980;361;155600;163;68977;211;110510;130;66220;23;22980;5;6660;14;22580;10;18050;5;8050
19.01.2022 21:00;0;0;0;0;13;12990;17;16980;14;13990;17;16990;277;111640;114;45410;187;91800;82;35886;17;17060;3;4100;6;8610;7;10860;2;2660
19.01.2022 22:00;0;0;0;0;10;10000;11;10980;11;10980;11;11000;255;107790;101;41920;136;69730;75;31990;13;12980;2;2820;7;13700;3;5210;3;3960
19.01.2022 23:00;0;0;0;0;6;6000;7;6990;6;5970;7;7000;152;64290;44;18370;91;43190;58;23660;10;9990;0;0;5;7090;2;3880;1;1770
20.01.2022 00:00;0;0;0;0;5;4990;8;7970;5;5063;8;7990;84;35263;15;5760;37;18560;18;8480;6;6000;0;0;0;0;2;3240;1;2399
20.01.2022 01:00;0;0;0;0;0;0;3;3000;0;0;3;2990;35;15820;6;1920;28;13920;10;3670;0;0;0;0;0;0;0;0;0;0
20.01.2022 02:00;0;0;0;0;0;0;0;0;0;0;0;0;36;19190;3;1440;22;11190;4;1600;0;0;0;0;0;0;0;0;0;0
20.01.2022 03:00;0;0;0;0;2;1990;1;1000;2;2000;1;1000;35;18390;6;3040;15;8800;6;2400;2;2000;0;0;0;0;0;0;0;0
20.01.2022 04:00;0;0;0;0;7;6990;5;4980;7;6990;5;5000;71;30720;22;8800;31;16950;10;4160;9;8990;0;0;0;0;0;0;0;0
20.01.2022 05:00;0;0;0;0;19;18980;16;15960;21;20980;16;15980;185;77410;92;36160;129;76740;77;33120;24;23980;1;1330;1;1580;3;3995;1;2320
20.01.2022 06:00;1;1000;0;0;23;22990;24;23960;25;25021;23;22960;384;193820;269;121880;300;157370;232;98915;29;28970;7;13180;7;9370;14;21990;3;3960
20.01.2022 07:00;0;0;0;0;26;25950;27;27030;28;27970;27;26960;587;313535;413;209889;480;380048;484;253450;33;32970;11;18240;41;76965;19;31390;20;32170
20.01.2022 08:00;0;0;0;0;26;25970;25;24970;28;27970;25;24970;604;315830;352;174173;498;410430;477;278280;32;32000;8;10880;35;61200;25;38901;7;10770
20.01.2022 09:00;1;1000;0;0;20;19990;26;25960;21;21000;26;25950;554;340920;315;171300;499;297460;386;194050;27;26970;3;4920;27;39700;18;29770;10;14430
20.01.2022 10:00;2;2000;1;1000;19;18980;22;21990;22;21980;23;22990;566;332179;287;186410;382;263639;314;155809;28;27960;6;8110;22;37880;13;19060;13;29490
20.01.2022 11:00;1;990;2;2000;21;20990;22;21990;22;21950;21;20970;579;347889;327;233750;377;226883;355;178960;27;26970;11;16540;19;27510;16;26340;10;15710
20.01.2022 12:00;0;0;0;0;24;23980;25;24970;27;26980;24;23980;561;364041;319;212080;405;244725;294;163523;30;29990;19;32080;38;74369;20;31800;15;24510
20.01.2022 13:00;0;0;0;0;27;26970;27;26970;28;27980;27;26970;665;477409;406;302079;429;275699;369;180920;33;32990;17;27800;54;104240;31;55330;20;29666
20.01.2022 14:00;1;1000;1;1000;23;22970;26;25990;26;25960;25;24970;668;396980;395;214057;434;257190;338;164710;30;30000;11;16600;33;60979;16;25030;22;34896
20.01.2022 15:00;0;0;0;0;24;23960;25;24980;26;25970;25;24960;695;462987;445;289407;464;273739;379;185236;30;29970;10;16720;34;58060;37;60950;16;27070
20.01.2022 16:00;0;0;0;0;24;23980;27;27000;26;25940;27;26960;691;415503;415;250130;476;309502;386;187110;30;29970;10;14730;56;99010;40;73120;14;22990
20.01.2022 17:00;0;0;0;0;24;23970;26;25970;26;25980;26;25980;684;1235042;464;1024001;488;285810;400;203668;30;30035;10;14470;30;46550;28;48520;7;9820
20.01.2022 18:00;0;0;0;0;25;25000;26;25970;26;26057;26;25960;619;342233;346;181483;431;259436;352;178300;31;30990;13;19210;21;35140;31;53190;11;19790
20.01.2022 19:00;0;0;0;0;22;21980;24;24121;25;24950;24;23960;428;220390;227;131760;325;173402;203;92770;28;27990;7;11360;21;42970;14;21610;7;11320
