01.06.2020 00:00;Bel_D571;Vwz_D571;Bel_ST53;Vwz_ST53;Bel_ST54;Vwz_ST54;Bel_T32;Vwz_T32;Bel_T32a;Vwz_T32a;Bel_T94;Vwz_T94
06.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
06.06.2020 03:00;0;0;0;0;0;0;1;600;0;0;0;0
06.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
06.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0
06.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;0;0
06.06.2020 07:00;0;0;0;0;0;0;1;1800;1;0;1;600
06.06.2020 08:00;0;0;0;0;0;0;4;4200;2;1200;4;3000
06.06.2020 09:00;0;0;0;0;0;0;10;14400;1;0;6;4200
06.06.2020 10:00;0;0;0;0;0;0;14;25800;3;1800;13;10200
06.06.2020 11:00;0;0;0;0;0;0;15;7200;8;1800;8;6000
06.06.2020 12:00;0;0;0;0;0;0;27;76800;25;10800;8;6000
06.06.2020 13:00;0;0;0;0;0;0;22;21000;4;4800;12;8400
06.06.2020 14:00;0;0;0;0;0;0;30;46200;17;13200;10;8400
06.06.2020 15:00;0;0;0;0;0;0;5;1200;5;7200;9;6600
06.06.2020 16:00;0;0;0;0;0;0;54;43800;5;1800;12;9000
06.06.2020 17:00;0;0;0;0;0;0;19;12600;15;4800;7;6000
06.06.2020 18:00;0;0;0;0;0;0;34;79800;9;13200;5;4200
06.06.2020 19:00;0;0;0;0;0;0;31;34200;7;13200;8;6600
06.06.2020 20:00;0;0;0;0;0;0;14;12000;1;2400;4;3000
06.06.2020 21:00;0;0;0;0;0;0;13;8400;7;7200;1;600
06.06.2020 22:00;0;0;0;0;0;0;1;1200;0;0;4;3000
06.06.2020 23:00;0;0;0;0;0;0;1;0;1;0;0;0
07.06.2020 00:00;0;0;0;0;0;0;2;2400;1;1800;0;0
07.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
07.06.2020 02:00;0;0;0;0;0;0;0;0;1;0;0;0
07.06.2020 03:00;0;0;0;0;0;0;1;0;0;0;0;0
07.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
07.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0
07.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;0;0
07.06.2020 07:00;0;0;0;0;0;0;0;0;0;0;0;0
07.06.2020 08:00;0;0;0;0;0;0;2;7200;1;600;0;0
07.06.2020 09:00;0;0;0;0;0;0;2;2400;3;2400;6;4200
07.06.2020 10:00;0;0;0;0;0;0;15;26400;8;4200;2;1200
07.06.2020 11:00;0;0;0;0;0;0;9;10800;12;3000;11;7800
07.06.2020 12:00;0;0;0;0;0;0;22;22200;2;1200;6;3600
07.06.2020 13:00;0;0;0;0;0;0;42;23400;4;600;9;6600
07.06.2020 14:00;0;0;0;0;0;0;25;16200;7;2400;5;4200
07.06.2020 15:00;0;0;0;0;0;0;32;33600;14;5400;9;7200
07.06.2020 16:00;0;0;0;0;0;0;24;34800;9;6000;13;10800
07.06.2020 17:00;0;0;0;0;0;0;36;24000;12;14400;3;2400
07.06.2020 18:00;0;0;0;0;0;0;72;64200;27;16200;1;600
07.06.2020 19:00;0;0;0;0;0;0;32;41400;2;1800;3;2400
07.06.2020 20:00;0;0;0;0;0;0;18;32400;3;1200;3;2400
07.06.2020 21:00;0;0;0;0;0;0;11;16200;6;3000;0;0
07.06.2020 22:00;0;0;0;0;0;0;10;15000;1;600;1;600
07.06.2020 23:00;0;0;0;0;0;0;0;0;0;0;0;0
08.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;2;1800
08.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
08.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
08.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
08.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
08.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;1;600
08.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;3;1800
08.06.2020 07:00;0;0;0;0;0;0;67;99600;1;1200;6;4200
08.06.2020 08:00;0;0;0;0;0;0;61;46800;12;6000;22;18000
08.06.2020 09:00;0;0;0;0;0;0;27;90000;5;6000;16;12600
08.06.2020 10:00;0;0;0;0;0;0;61;113400;12;10800;16;12000
08.06.2020 11:00;0;0;0;0;0;0;33;31200;11;3600;15;11400
08.06.2020 12:00;0;0;0;0;0;0;23;24600;15;7800;15;11400
08.06.2020 13:00;0;0;0;0;0;0;22;49800;23;19800;19;14400
08.06.2020 14:00;0;0;0;0;0;0;36;88200;23;9600;21;15600
08.06.2020 15:00;0;0;0;0;0;0;47;63600;4;1200;30;24000
08.06.2020 16:00;0;0;0;0;0;0;48;69000;13;9000;11;8400
08.06.2020 17:00;0;0;0;0;0;0;42;79800;18;10800;13;9000
08.06.2020 18:00;0;0;0;0;0;0;41;74400;15;4800;9;7200
08.06.2020 19:00;0;0;0;0;0;0;32;21000;6;3000;0;0
08.06.2020 20:00;0;0;0;0;0;0;20;22800;4;3000;2;1800
08.06.2020 21:00;0;0;0;0;0;0;11;18000;6;1200;1;600
08.06.2020 22:00;0;0;0;0;0;0;7;4200;3;600;0;0
08.06.2020 23:00;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0
09.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;3;1800
09.06.2020 07:00;0;0;0;0;0;0;71;108000;1;2400;11;7800
09.06.2020 08:00;0;0;0;0;0;0;50;84000;6;4200;15;11400
09.06.2020 09:00;0;0;0;0;0;0;18;22800;9;4200;11;8400
09.06.2020 10:00;0;0;0;0;0;0;32;43200;15;10200;20;16200
09.06.2020 11:00;0;0;0;0;0;0;26;70200;7;5400;6;4800
09.06.2020 12:00;0;0;0;0;0;0;55;133200;15;11400;8;6000
09.06.2020 13:00;0;0;0;0;0;0;42;93600;10;9600;19;13800
09.06.2020 14:00;0;0;0;0;0;0;58;46800;6;1200;20;15000
09.06.2020 15:00;0;0;0;0;0;0;63;115800;37;22200;15;11400
09.06.2020 16:00;0;0;0;0;0;0;55;100200;11;11400;14;10200
09.06.2020 17:00;0;0;0;0;0;0;48;47400;7;10200;12;7200
09.06.2020 18:00;0;0;0;0;0;0;34;96600;12;7200;13;10800
09.06.2020 19:00;0;0;0;0;0;0;25;14400;6;11400;3;2400
09.06.2020 20:00;0;0;0;0;0;0;10;5400;7;7800;4;3000
09.06.2020 21:00;0;0;0;0;0;0;12;4200;0;0;2;1200
09.06.2020 22:00;0;0;0;0;0;0;6;4800;1;1200;0;0
09.06.2020 23:00;0;0;0;0;0;0;0;0;0;0;0;0
10.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;1;600
10.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
10.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
10.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
10.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
10.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0
10.06.2020 06:00;0;0;0;0;0;0;2;4200;1;1800;7;5400
10.06.2020 07:00;0;0;0;0;0;0;71;76800;2;1200;10;7800
10.06.2020 08:00;0;0;0;0;0;0;35;64200;6;5400;17;13200
10.06.2020 09:00;0;0;0;0;0;0;10;19200;2;600;4;3000
10.06.2020 10:00;0;0;0;0;0;0;24;17400;13;6600;5;4200
10.06.2020 11:00;0;0;0;0;0;0;39;22200;8;12600;6;4800
10.06.2020 12:00;0;0;0;0;0;0;19;13200;17;15000;7;4800
10.06.2020 13:00;0;0;0;0;0;0;59;131400;39;37800;17;13800
10.06.2020 14:00;0;0;0;0;0;0;42;46800;14;9000;18;13200
10.06.2020 15:00;0;0;0;0;0;0;33;69000;29;20400;8;6000
10.06.2020 16:00;0;0;0;0;0;0;23;39000;14;9000;18;13800
10.06.2020 17:00;0;0;0;0;0;0;41;61200;5;5400;26;21600
10.06.2020 18:00;0;0;0;0;0;0;49;51000;15;5400;7;4800
10.06.2020 19:00;0;0;0;0;0;0;30;28200;4;1200;6;5400
10.06.2020 20:00;0;0;0;0;0;0;32;49200;21;15000;1;600
10.06.2020 21:00;0;0;0;0;0;0;6;5400;0;0;3;2400
10.06.2020 22:00;0;0;0;0;0;0;6;6000;1;0;0;0
10.06.2020 23:00;0;0;0;0;0;0;0;0;0;0;0;0
11.06.2020 00:00;0;0;0;0;0;0;5;1800;0;0;1;600
11.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
11.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
11.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
11.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
11.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0
11.06.2020 06:00;0;0;0;0;0;0;1;600;0;0;0;0
11.06.2020 07:00;0;0;0;0;0;0;0;0;0;0;0;0
11.06.2020 08:00;0;0;0;0;0;0;1;600;2;0;3;3000
11.06.2020 09:00;0;0;0;0;0;0;3;2400;2;600;1;600
11.06.2020 10:00;0;0;0;0;0;0;8;13800;5;1200;6;5400
11.06.2020 11:00;0;0;0;0;0;0;3;600;2;1200;5;4200
11.06.2020 12:00;0;0;0;0;0;0;6;22200;2;600;4;2400
11.06.2020 13:00;0;0;0;0;0;0;18;30000;2;600;8;6000
11.06.2020 14:00;0;0;0;0;0;0;16;3000;5;6000;7;6000
11.06.2020 15:00;0;0;0;0;0;0;15;23400;4;3000;5;4200
11.06.2020 16:00;0;0;0;0;0;0;30;28200;15;4800;6;4800
11.06.2020 17:00;0;0;0;0;0;0;22;59400;22;7200;10;7200
11.06.2020 18:00;0;0;0;0;0;0;27;33600;0;0;6;4200
11.06.2020 19:00;0;0;0;0;0;0;37;46200;3;7800;1;600
11.06.2020 20:00;0;0;0;0;0;0;24;34200;0;0;6;4800
11.06.2020 21:00;0;0;0;0;0;0;32;8400;3;5400;0;0
11.06.2020 22:00;0;0;0;0;0;0;2;600;0;0;0;0
11.06.2020 23:00;0;0;0;0;0;0;7;0;0;0;0;0
12.06.2020 00:00;0;0;0;0;0;0;1;600;0;0;0;0
12.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
12.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
12.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
12.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
12.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;3;2400
12.06.2020 06:00;0;0;0;0;0;0;0;0;3;3000;1;600
12.06.2020 07:00;0;0;0;0;0;0;9;10200;0;0;8;6000
12.06.2020 08:00;0;0;0;0;0;0;9;4800;2;600;10;7200
12.06.2020 09:00;0;0;0;0;0;0;11;60000;7;3600;11;8400
12.06.2020 10:00;0;0;0;0;0;0;33;19800;9;4800;16;13200
12.06.2020 11:00;0;0;0;0;0;0;29;36600;8;6000;11;9000
12.06.2020 12:00;0;0;0;0;0;0;23;34800;12;9000;8;4800
12.06.2020 13:00;0;0;0;0;0;0;29;24000;3;4200;23;17400
12.06.2020 14:00;0;0;0;0;0;0;32;52200;10;3600;13;10200
12.06.2020 15:00;0;0;0;0;0;0;61;69600;14;3000;24;18600
12.06.2020 16:00;0;0;0;0;0;0;62;52800;9;4200;11;9000
12.06.2020 17:00;0;0;0;0;0;0;75;99600;8;4800;11;7800
12.06.2020 18:00;0;0;0;0;0;0;43;81000;17;6600;8;5400
12.06.2020 19:00;0;0;0;0;0;0;23;31200;7;7200;6;4800
12.06.2020 20:00;0;0;0;0;0;0;41;64200;2;0;5;3600
12.06.2020 21:00;0;0;0;0;0;0;24;11400;0;0;3;1800
12.06.2020 22:00;0;0;0;0;0;0;23;46200;0;0;0;0
12.06.2020 23:00;0;0;0;0;0;0;4;7200;7;1200;0;0
13.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0
13.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
13.06.2020 02:00;0;0;0;0;0;0;1;0;0;0;0;0
13.06.2020 03:00;0;0;0;0;0;0;2;1800;0;0;0;0
13.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
13.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0
13.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;0;0
13.06.2020 07:00;0;0;0;0;0;0;0;0;2;1800;3;2400
13.06.2020 08:00;0;0;0;0;0;0;8;5400;0;0;7;5400
13.06.2020 09:00;0;0;0;0;0;0;21;40200;4;5400;12;8400
13.06.2020 10:00;0;0;0;0;0;0;23;13200;8;7800;12;9000
13.06.2020 11:00;0;0;0;0;0;0;22;21600;19;10800;19;15600
13.06.2020 12:00;0;0;0;0;0;0;17;16200;15;11400;9;7200
13.06.2020 13:00;0;0;0;0;0;0;23;26400;12;5400;13;9600
13.06.2020 14:00;0;0;0;0;0;0;62;54600;12;7800;13;11400
13.06.2020 15:00;0;0;0;0;0;0;37;36600;12;14400;8;6000
13.06.2020 16:00;0;0;0;0;0;0;43;60600;15;8400;11;8400
13.06.2020 17:00;0;0;0;0;0;0;34;15600;14;6600;13;9600
13.06.2020 18:00;0;0;0;0;0;0;48;57600;6;1800;11;8400
13.06.2020 19:00;0;0;0;0;0;0;23;30000;3;1800;8;6000
13.06.2020 20:00;0;0;0;0;0;0;38;96000;4;1200;4;3000
13.06.2020 21:00;0;0;0;0;0;0;19;24600;4;1800;2;1800
13.06.2020 22:00;0;0;0;0;0;0;5;1800;0;0;0;0
13.06.2020 23:00;0;0;0;0;0;0;2;4200;0;0;0;0
14.06.2020 00:00;0;0;0;0;0;0;0;0;1;1800;4;3000
14.06.2020 01:00;0;0;0;0;0;0;0;0;2;1200;0;0
14.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
14.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
14.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
14.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0
14.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;0;0
14.06.2020 07:00;0;0;0;0;0;0;0;0;0;0;0;0
14.06.2020 08:00;0;0;0;0;0;0;0;0;0;0;4;3600
14.06.2020 09:00;0;0;0;0;0;0;4;30000;2;3600;8;7200
14.06.2020 10:00;0;0;0;0;0;0;3;600;11;4200;3;2400
14.06.2020 11:00;0;0;0;0;0;0;32;23400;5;1800;3;2400
14.06.2020 12:00;0;0;0;0;0;0;16;22800;7;3000;1;600
14.06.2020 13:00;0;0;0;0;0;0;22;35400;9;8400;4;2400
14.06.2020 14:00;0;0;0;0;0;0;21;29400;1;600;4;3000
14.06.2020 15:00;0;0;0;0;0;0;21;39600;23;11400;7;5400
14.06.2020 16:00;0;0;0;0;0;0;24;44400;9;9600;7;3600
14.06.2020 17:00;0;0;0;0;0;0;13;22200;13;8400;6;4800
14.06.2020 18:00;0;0;0;0;0;0;14;36000;2;1800;0;0
14.06.2020 19:00;0;0;0;0;0;0;25;19200;3;2400;1;600
14.06.2020 20:00;0;0;0;0;0;0;16;40200;3;1800;2;1800
14.06.2020 21:00;0;0;0;0;0;0;4;1800;0;0;2;1800
14.06.2020 22:00;0;0;0;0;0;0;2;1200;0;0;0;0
14.06.2020 23:00;0;0;0;0;0;0;0;0;0;0;0;0
15.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0
15.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
15.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
15.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
15.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
15.06.2020 05:00;0;0;0;0;0;0;0;0;1;1200;0;0
15.06.2020 06:00;0;0;0;0;0;0;3;1800;3;600;5;3600
15.06.2020 07:00;0;0;0;0;0;0;60;73200;2;0;6;3600
15.06.2020 08:00;0;0;0;0;0;0;48;108600;5;3000;21;16200
15.06.2020 09:00;0;0;0;0;0;0;16;39600;4;5400;13;9000
15.06.2020 10:00;0;0;0;0;0;0;39;42600;9;9000;13;11400
15.06.2020 11:00;0;0;0;0;0;0;17;22200;16;7800;11;7800
15.06.2020 12:00;0;0;0;0;0;0;21;18000;16;11400;8;5400
15.06.2020 13:00;0;0;0;0;0;0;25;42000;38;33000;19;16200
15.06.2020 14:00;0;0;0;0;0;0;35;43200;14;8400;15;12000
15.06.2020 15:00;0;0;0;0;0;0;56;28800;10;4200;11;8400
