01.06.2020 00:00;Bel_A51_M1S_494;Vwz_A51_M1S_494;Bel_A54_M4SL_506;Vwz_A54_M4SL_506;Bel_A55_M3S_505;Vwz_A55_M3S_505;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H51_A74/M1S_493;Vwz_H51_A74/M1S_493;Bel_H54_M3SL_1289;Vwz_H54_M3SL_1289;Bel_H55_A30/M3S_504;Vwz_H55_A30/M3S_504;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
04.06.2020 02:00;0;0;0;0;0;0;2;530;6;4930;13;9120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 03:00;0;0;0;0;2;2000;2;1210;6;4690;8;4930;0;0;0;0;0;0;2;2000;0;0;0;0;0;0;0;0
04.06.2020 04:00;2;2000;0;0;3;2990;6;7065;6;5280;6;6930;0;0;2;2000;0;0;3;3000;0;0;0;0;0;0;0;0
04.06.2020 05:00;8;7980;2;2000;14;13990;10;6840;28;22240;39;27910;0;0;8;8000;2;2000;13;13000;0;0;0;0;0;0;0;0
04.06.2020 06:00;14;13990;4;4000;20;19980;40;24480;83;99990;96;72720;0;0;14;14000;4;3990;20;19970;0;0;0;0;0;0;0;0
04.06.2020 07:00;16;16000;4;3990;22;22055;99;117766;150;324300;195;341856;0;0;16;15980;4;4000;22;21990;0;0;0;0;0;0;0;0
04.06.2020 08:00;17;16990;5;5000;19;18990;110;127680;195;433615;259;578083;0;0;16;16000;4;4000;19;18990;0;0;0;0;0;0;0;0
04.06.2020 09:00;16;15980;4;4000;21;21000;112;115775;216;456561;253;650691;0;0;16;15980;4;4000;21;20990;0;0;0;0;0;0;0;0
04.06.2020 10:00;16;15990;4;3990;20;20055;95;94827;190;481120;262;677949;0;0;16;15980;4;3990;20;19980;0;0;0;0;0;0;0;0
04.06.2020 11:00;16;16044;4;4000;20;19980;91;141870;198;312179;309;713360;0;0;16;15980;4;4000;20;19970;0;0;0;0;0;0;0;0
