01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_T3_4;Vwz_T3_4;Bel_T7_8;Vwz_T7_8
09.06.2020 17:00;52;504520;129;1718865;19;11690;0;3600000
09.06.2020 18:00;67;953655;125;1487682;15;11070;0;3600000
09.06.2020 19:00;42;452682;97;1212317;23;23350;0;3600000
09.06.2020 20:00;22;210220;63;1101614;9;5710;0;3600000
09.06.2020 21:00;18;438172;35;441295;6;6480;0;3600000
09.06.2020 22:00;10;95200;34;555156;1;690;0;3600000
09.06.2020 23:00;4;65090;13;212190;3;2600;0;3600000
10.06.2020 00:00;2;1140;10;34502;0;0;0;3600000
10.06.2020 01:00;0;0;3;3120;0;0;0;3600000
10.06.2020 02:00;1;300;5;3240;0;0;0;3600000
10.06.2020 03:00;3;2230;3;2230;0;0;0;3600000
10.06.2020 04:00;4;3970;2;2170;0;0;0;3600000
10.06.2020 05:00;11;10440;23;17660;0;0;0;3600000
10.06.2020 06:00;25;476106;33;565690;2;1850;0;3600000
10.06.2020 07:00;52;743063;49;902038;16;8770;0;3600000
10.06.2020 08:00;66;788011;60;1185809;6;4790;0;3600000
10.06.2020 09:00;46;761929;55;985898;13;18060;0;3600000
10.06.2020 10:00;44;740242;94;1262920;11;9800;0;3600000
10.06.2020 11:00;48;464279;101;1328408;28;14030;0;3600000
10.06.2020 12:00;52;689502;124;1736227;15;11740;0;3600000
10.06.2020 13:00;52;568734;122;1477024;27;17310;0;3600000
10.06.2020 14:00;57;593438;109;1498306;21;11340;0;3600000
10.06.2020 15:00;63;1105404;164;2391926;20;13070;0;3600000
10.06.2020 16:00;65;945449;155;1950716;21;12950;0;3600000
10.06.2020 17:00;65;656212;144;1752777;33;19680;0;3600000
10.06.2020 18:00;73;609586;123;1655943;17;8390;0;3600000
10.06.2020 19:00;46;821641;99;1555325;22;11150;0;3600000
10.06.2020 20:00;39;362561;72;1125788;10;4420;0;3600000
10.06.2020 21:00;26;373570;63;942421;8;4220;0;3600000
10.06.2020 22:00;12;205000;24;440694;1;730;0;3600000
10.06.2020 23:00;13;104323;21;295508;0;0;0;3600000
11.06.2020 00:00;6;6210;16;17630;0;0;0;3600000
11.06.2020 01:00;2;1450;10;13260;0;0;0;3600000
11.06.2020 02:00;2;2460;6;6370;0;0;0;3600000
11.06.2020 03:00;1;720;2;2340;0;0;0;3600000
11.06.2020 04:00;1;900;2;1380;0;0;0;3600000
11.06.2020 05:00;2;2770;2;1990;0;0;0;3600000
11.06.2020 06:00;2;68192;6;246350;1;970;0;3600000
11.06.2020 07:00;3;45890;4;156320;0;0;0;3600000
11.06.2020 08:00;8;265168;15;626098;1;1300;0;3600000
11.06.2020 09:00;17;385934;14;382824;8;4040;0;3600000
11.06.2020 10:00;27;497249;32;556667;7;3030;0;3600000
11.06.2020 11:00;27;414660;47;852911;7;3856;0;3600000
11.06.2020 12:00;32;566808;43;646748;13;7650;0;3600000
11.06.2020 13:00;31;400549;39;938186;10;8770;0;3600000
11.06.2020 14:00;33;577676;46;540241;6;7270;0;3600000
11.06.2020 15:00;27;297639;60;907299;10;8720;0;3600000
11.06.2020 16:00;24;367784;76;1366451;25;15960;0;3600000
11.06.2020 17:00;28;487758;73;1434450;11;7110;0;3600000
11.06.2020 18:00;32;506354;60;1197662;13;10550;0;3600000
11.06.2020 19:00;32;449410;52;846641;18;7990;0;3600000
11.06.2020 20:00;18;142610;44;703578;7;3034;0;3600000
11.06.2020 21:00;19;400654;36;591077;3;2280;0;3600000
11.06.2020 22:00;15;309817;37;743959;1;580;0;3600000
11.06.2020 23:00;10;129020;15;371667;4;1600;0;3600000
12.06.2020 00:00;1;660;15;11210;0;0;0;3600000
12.06.2020 01:00;3;3010;10;11770;0;0;0;3600000
12.06.2020 02:00;1;660;0;0;0;0;0;3600000
12.06.2020 03:00;3;1270;4;2110;0;0;0;3600000
12.06.2020 04:00;3;3060;1;960;0;0;0;3600000
12.06.2020 05:00;10;8310;11;9880;0;0;0;3600000
12.06.2020 06:00;14;415884;20;512883;3;1540;0;3600000
12.06.2020 07:00;28;623066;35;568560;1;580;0;3600000
12.06.2020 08:00;44;510398;52;849020;33;20220;0;3600000
12.06.2020 09:00;68;913512;80;906215;22;15890;0;3600000
12.06.2020 10:00;56;677687;121;1304978;19;12730;0;3600000
12.06.2020 11:00;68;656089;130;1318363;24;15120;0;3600000
12.06.2020 12:00;66;919809;152;1826125;9;8410;0;3600000
12.06.2020 13:00;61;858832;119;1504512;14;9050;0;3600000
12.06.2020 14:00;70;983761;138;1584389;17;11140;0;3600000
12.06.2020 15:00;80;1012748;124;1837899;20;12470;0;3600000
12.06.2020 16:00;67;1055628;134;1681893;30;14940;0;3600000
12.06.2020 17:00;43;693789;116;1509067;20;7550;0;3600000
12.06.2020 18:00;52;864125;93;1350561;17;14719;0;3600000
12.06.2020 19:00;40;424750;88;1136114;27;35370;0;3600000
12.06.2020 20:00;26;252970;54;585869;10;7110;0;3600000
12.06.2020 21:00;20;426721;48;643476;4;4250;0;3600000
12.06.2020 22:00;19;256710;38;550735;4;2320;0;3600000
12.06.2020 23:00;13;288166;28;402190;5;1550;0;3600000
13.06.2020 00:00;13;12720;18;19430;1;1310;0;3600000
13.06.2020 01:00;7;4100;16;16440;0;0;0;3600000
13.06.2020 02:00;1;490;7;5670;0;0;0;3600000
13.06.2020 03:00;5;2600;4;13370;0;0;0;3600000
13.06.2020 04:00;3;1680;2;3800;0;0;0;3600000
13.06.2020 05:00;3;2400;3;1740;0;0;0;3600000
13.06.2020 06:00;1;42690;8;226010;0;0;0;3600000
13.06.2020 07:00;14;146996;5;108080;2;1500;0;3600000
13.06.2020 08:00;32;241030;39;417066;7;3710;0;3600000
13.06.2020 09:00;58;752082;57;861538;8;4650;0;3600000
13.06.2020 10:00;67;634504;82;675454;10;5240;0;3600000
13.06.2020 11:00;82;647917;116;1554371;15;9740;0;3600000
13.06.2020 12:00;65;702868;112;1439011;14;7790;0;3600000
13.06.2020 13:00;68;742291;100;1036339;27;30240;0;3600000
13.06.2020 14:00;55;570701;114;1242253;17;15440;0;3600000
13.06.2020 15:00;46;547905;113;1479486;11;8520;0;3600000
13.06.2020 16:00;28;400127;110;1190215;7;4840;0;3600000
13.06.2020 17:00;51;642674;109;1327319;18;11710;0;3600000
13.06.2020 18:00;44;529827;103;1087879;19;13400;0;3600000
13.06.2020 19:00;38;576411;87;1330489;15;7810;0;3600000
13.06.2020 20:00;27;551247;73;866800;13;8580;0;3600000
13.06.2020 21:00;20;252504;26;550040;2;1250;0;3600000
13.06.2020 22:00;22;161869;37;552040;2;900;0;3600000
13.06.2020 23:00;10;211290;16;430813;0;0;0;3600000
14.06.2020 00:00;12;18540;21;34570;0;0;0;3600000
14.06.2020 01:00;8;11210;14;12040;0;0;0;3600000
14.06.2020 02:00;6;14490;8;6990;0;0;0;3600000
14.06.2020 03:00;1;550;5;2950;0;0;0;3600000
14.06.2020 04:00;0;0;2;2100;0;0;0;3600000
14.06.2020 05:00;6;4740;7;8551;0;0;0;3600000
14.06.2020 06:00;1;670;2;25690;0;0;0;3600000
14.06.2020 07:00;1;9610;6;103490;0;0;0;3600000
14.06.2020 08:00;3;47340;12;292067;0;0;0;3600000
14.06.2020 09:00;12;238220;20;297245;5;3380;0;3600000
14.06.2020 10:00;22;318466;25;435920;3;1700;0;3600000
14.06.2020 11:00;22;448661;40;504902;4;2640;0;3600000
14.06.2020 12:00;25;386923;41;565592;13;14640;0;3600000
14.06.2020 13:00;22;456848;33;576151;1;1120;0;3600000
14.06.2020 14:00;30;605211;55;616135;8;4190;0;3600000
14.06.2020 15:00;27;408631;48;657137;7;3680;0;3600000
14.06.2020 16:00;34;321327;51;761164;6;3870;0;3600000
14.06.2020 17:00;25;476836;66;1047113;10;6560;0;3600000
